k,brier_score_scores,log_loss_scores,brier_score_probas_pos,log_loss_probas_pos,brier_score_probas_pos_neg,log_loss_probas_pos_neg,brier_score_probas_pos_neg_iso,log_loss_probas_pos_neg_iso,brier_score_probas_pos_iso,log_loss_probas_pos_iso,brier_score_probas_pos_sc,log_loss_probas_pos_sc,brier_score_probas_pos_neg_sc,log_loss_probas_pos_neg_sc,ece_scores,ece_probas_pos,ece_probas_pos_neg,ece_probas_pos_neg_iso,ece_probas_pos_iso,ece_probas_pos_sc,ece_probas_pos_neg_sc,metrics_mrr,metrics_hits@10,metrics_mr,accuracy_per_relation,accuracy_uncalib,accuracy_pos,accuracy_pos_neg,accuracy_pos_neg_iso,accuracy_pos_iso,accuracy_pos_sc,accuracy_pos_neg_sc
10,0.45117141974906433,1.6930610657225624,0.2165424478612138,0.6213203743914235,0.21633584644920525,0.6209422610569454,0.21385897084903466,0.6172777433527639,0.21530289048550147,0.6188613723882677,0.2171213118503476,0.622773494768319,0.21634138121358742,0.6208482526145348,0.4585602265821125,0.04777372498010413,0.04536268605346742,0.010806999668356613,0.03929347096908824,0.04882871566847196,0.04610296893962787,0.03970237201620035,0.0747990933443231,9772.884555944776,0.6649751344768091,0.5074596569572719,0.6361514259616361,0.637267837206942,0.6363544098244189,0.6366588856185933,0.6356947122703746,0.6362021719273317
25,0.45696803268949937,2.048031471865483,0.14805400043536268,0.46110270243776624,0.1478482094159606,0.46120764814605225,0.14431374583788126,0.44509129563173,0.14417456030604034,0.4440181189311819,0.14780346607662626,0.4611698294551393,0.14805504977946513,0.4611607569488096,0.4719272426066877,0.05702528919191708,0.05632162524832816,0.00989462914835206,0.012794113283502337,0.05609533094025561,0.05712547383833514,0.12501444228060216,0.21656707191427982,4734.280135998351,0.7959504719374809,0.5074596569572719,0.78646097635238,0.7876281335633817,0.794834060692175,0.7941236171724347,0.7883385770831219,0.7863594844209886
50,0.452368084891562,2.032767855652927,0.11093069691325484,0.3630293213507601,0.1099031276865761,0.3603568355916712,0.10714185932450496,0.35242744112184354,0.10728184492824464,0.352713341105065,0.11019899453545644,0.36160863038801055,0.110091160709933,0.36044971804856485,0.4702920580979811,0.05492460513543226,0.04711417954403363,0.01239406558526701,0.01882927936377113,0.050061421473779344,0.04832287684438803,0.15342489545775273,0.2929631155985988,3098.045899443643,0.8488277681924287,0.5074596569572719,0.8548157921445245,0.8544605703846544,0.8576575662234852,0.8573023444636152,0.8560844412869177,0.8544605703846544
100,0.44647711821533187,1.9814300902360638,0.0960592071679988,0.32297312256438043,0.09406186094963868,0.3168080732975116,0.09189607490086718,0.30664119576728904,0.09213835798928272,0.3079506815642833,0.0947183274728548,0.31902511023338276,0.09419131367381937,0.31689703346498493,0.46712908057117297,0.05584606146263154,0.039613439385133335,0.009634939207372524,0.018539190455671484,0.045007863318507924,0.040869095797996455,0.1563086338147838,0.30501751493921286,2519.945961261076,0.8747589566629453,0.5074596569572719,0.8821678676545215,0.8820156297574343,0.8814066781690856,0.8814066781690856,0.8818633918603471,0.8818633918603471
200,0.44342049168951087,1.94736174476075,0.0892178176281477,0.30255833165731805,0.08702677439081691,0.29465319748760344,0.08562932072316182,0.28982108601322976,0.0857891521257466,0.2897667280836048,0.08776596069190125,0.29735349910569653,0.08713161261018387,0.29476891309848235,0.4654554307829798,0.04772909186303309,0.032384352285729105,0.007727289886993763,0.015663487402145303,0.037575235551643174,0.03340979999691847,0.15537323410594375,0.3088295899443643,2187.1937976509375,0.8832842788998274,0.5074596569572719,0.8888663351263575,0.8900842383030549,0.8902872221658378,0.8900334923373592,0.8894245407490105,0.8902872221658378
500,0.4409522175507001,1.9237703977499943,0.08759413245967237,0.2976687652734585,0.08554837752786387,0.2902577800826414,0.08444044860906763,0.2862528961528989,0.08400581986182232,0.2846597637106902,0.08621274429421638,0.2926723706119979,0.08564697848218139,0.2903511071968142,0.4640890606088734,0.046842809886384514,0.03237152564202565,0.009114199761810823,0.012989514582604833,0.037794369385934085,0.033063215427837835,0.15473984728371742,0.3088295899443643,2112.8051205439933,0.8847559119050036,0.5074596569572719,0.8923170607936669,0.8928245204506242,0.8927230285192327,0.892672282553537,0.8927737744849285,0.8927230285192327
